Time,Infected Homosexual Males,Infected Bisexual Males,Infected Heterosexual Females,Infected Heterosexual Males
0.313,4.9966669235604,4.998076683303774,99.95238007934557,99.95000118342672
0.314,4.996666927808334,4.998076683304554,99.95238007959584,99.95000118420424
0.315,4.996666931737786,4.998076683305274,99.95238007981986,99.95000118490402
0.316,4.996666935372631,4.998076683305938,99.95238008002039,99.95000118553384
0.317,4.9966669387349585,4.998076683306552,99.9523800801999,99.95000118610068
0.318,4.9966669418452,4.998076683307119,99.95238008036058,99.95000118661085
0.319,4.996666944722255,4.998076683307642,99.95238008050443,99.95000118707
0.32,4.9966669473836065,4.998076683308125,99.95238008063319,99.95000118748325
0.321,4.996666949845427,4.998076683308571,99.95238008074845,99.95000118785518
0.322,4.996666952122675,4.998076683308983,99.95238008085163,99.95000118818992
0.323,4.996666954229189,4.998076683309364,99.95238008094398,99.95000118849119
0.324,4.99666695617777,4.998076683309716,99.95238008102666,99.95000118876233
0.325,4.996666957980259,4.998076683310041,99.95238008110067,99.95000118900636
0.326,4.996666959647609,4.998076683310341,99.95238008116692,99.95000118922599
0.327,4.996666961189951,4.998076683310618,99.95238008122622,99.95000118942366
0.328,4.996666962616658,4.998076683310874,99.9523800812793,99.95000118960156
0.329,4.996666963936399,4.99807668331111,99.95238008132682,99.9500011897617
0.33,4.996666965157195,4.998076683311329,99.95238008136936,99.9500011899058
0.331,4.996666966286464,4.99807668331153,99.95238008140743,99.95000119003551
0.332,4.996666967331066,4.998076683311717,99.95238008144152,99.95000119015224
0.333,4.996666968297351,4.998076683311889,99.95238008147203,99.9500011902573
0.334,4.99666696919119,4.998076683312049,99.95238008149934,99.95000119035186
0.335,4.996666970018015,4.998076683312196,99.9523800815238,99.95000119043695
0.336,4.996666970782849,4.998076683312332,99.95238008154568,99.95000119051355
0.337,4.996666971490341,4.998076683312458,99.95238008156528,99.95000119058248
0.338,4.996666972144789,4.998076683312575,99.95238008158282,99.95000119064453
0.339,4.996666972750171,4.998076683312682,99.95238008159852,99.95000119070036
0.34,4.996666973310166,4.998076683312782,99.95238008161257,99.95000119075061
0.341,4.996666973828176,4.998076683312874,99.95238008162515,99.95000119079585
0.342,4.996666974307348,4.998076683312959,99.9523800816364,99.95000119083656
0.343,4.996666974750595,4.9980766833130374,99.95238008164648,99.9500011908732
0.34400000000000003,4.99666697516061,4.99807668331311,99.9523800816555,99.95000119090616
0.34500000000000003,4.996666975539885,4.998076683313178,99.95238008166359,99.95000119093584
0.34600000000000003,4.996666975890724,4.99807668331324,99.95238008167082,99.95000119096255
0.34700000000000003,4.996666976215259,4.998076683313298,99.9523800816773,99.9500011909866
0.34800000000000003,4.9966669765154625,4.998076683313351,99.9523800816831,99.95000119100823
0.34900000000000003,4.996666976793159,4.9980766833134,99.95238008168829,99.9500011910277
0.35000000000000003,4.996666977050035,4.998076683313445,99.95238008169294,99.95000119104522
0.35100000000000003,4.996666977287653,4.998076683313487,99.95238008169709,99.95000119106099
0.352,4.996666977507456,4.998076683313526,99.95238008170081,99.95000119107519
0.353,4.996666977710778,4.9980766833135615,99.95238008170413,99.95000119108796
0.354,4.996666977898857,4.998076683313594,99.95238008170712,99.95000119109946
0.355,4.996666978072835,4.998076683313625,99.95238008170979,99.9500011911098
0.356,4.99666697823377,4.998076683313654,99.95238008171218,99.95000119111911
